,Degree Distribution,Average Path Length,Diameter,Information Centrality,Closeness Centrality,Harmonic Centrality,Assortativity,Network Type
120,986.2522255192879,1.2678157197332682,2,0.36619157042002487,0.7888278772794977,1166.626112759644,-0.0014530942081819207,Gilbert
121,1426.6185332575326,1.1884991278398562,2,0.40588518109583427,0.8414518979420277,1592.3092666287664,-0.000820448300123803,Gilbert
122,514.1815038893691,1.5552063115143866,2,0.22217426681032823,0.6430562426111797,835.0907519446845,-0.000802699093290868,Gilbert
123,146.78108581436078,1.871357505859456,2,0.06369993445207801,0.5343867688185947,643.8905429071804,-0.0028414669736423434,Gilbert
124,990.3864541832669,1.0125758183616482,2,0.49419340148305757,0.9875921195957051,996.6932270916335,-0.0017901312451275091,Gilbert
125,953.640408899579,1.4262091402529609,2,0.2868464137436399,0.7012085663064904,1307.8202044497896,-0.0009392079615737123,Gilbert
126,386.9693637077769,1.6957788021165277,2,0.1517569834914804,0.5897325533844946,829.4846818538884,-0.003466421561385233,Gilbert
127,736.0876158382476,1.379352769107717,2,0.31029796699645595,0.7250578122748197,961.0438079191239,-0.0005225418584440001,Gilbert
128,472.38772378516626,1.7582457913074891,2,0.12059458550121685,0.5687664190105847,1213.193861892583,-0.001443837140116743,Gilbert
129,273.75735950044606,1.755573786160316,2,0.12174810004200207,0.5696426732940058,696.878679750223,-0.0003383724279861242,Gilbert
130,120.27037392138064,1.8845773762750666,2,0.05700287126139586,0.5306384423001572,581.1351869606904,0.0010693485468597991,Gilbert
131,1747.7537046499745,1.1064653861707696,2,0.4469482057779324,0.9038145067462755,1851.876852324987,-0.0007754207370834744,Gilbert
132,1319.6116229624379,1.0641052319415334,2,0.4682396953483487,0.9397914267001926,1364.805811481219,-0.0015636015899221875,Gilbert
133,1043.8994285714286,1.4031449808053582,2,0.29839612168918056,0.7127346042707229,1396.4497142857142,-0.0019145561309186832,Gilbert
134,673.0736842105263,1.3552934059286146,2,0.3223669110497882,0.7379333325268991,858.5368421052632,-0.0012478106231484998,Gilbert
135,392.94777350192413,1.7838571102849703,2,0.1077619292580121,0.5605985515240031,1105.473886750962,-0.0025109785348144246,Gilbert
136,291.32941176470587,1.8094640864848228,2,0.09486604923355448,0.5526668271905468,910.1647058823529,-0.0031247028472639496,Gilbert
137,1194.8510638297873,1.0913680122967397,2,0.4546006574287718,0.9163296432882434,1254.9255319148936,-0.0014853387852075703,Gilbert
138,581.1669941060903,1.4285476950775906,2,0.285639151279812,0.7000933828681114,799.0834970530452,-0.001656932414078569,Gilbert
139,318.6077519379845,1.7528256385275527,2,0.12316600643327905,0.5705348379989709,803.8038759689922,-0.001220226462985018,Gilbert
140,352.32681242807826,1.7971636082739906,2,0.1010778283756421,0.5564481273850254,1044.663406214039,-0.0016878117190786978,Gilbert
141,10.135753749013418,3.3456735630808057,5,0.0032746909846637774,0.29951450536999424,399.05482767692433,-0.019913549737882955,Gilbert
142,1395.615166949632,1.209730936042111,2,0.39525345053139466,0.8266840842573576,1580.807583474816,-0.0017278478631487847,Gilbert
143,884.8027801911381,1.2306062780946625,2,0.3848556247902725,0.8126903800365075,1017.4013900955691,-0.00272956800105106,Gilbert
144,485.14503816793894,1.5366332013677757,2,0.2314475731167637,0.6508414821400778,766.0725190839695,-0.002809617327708882,Gilbert
145,1089.7980406932932,1.178131191030699,2,0.4111270563631707,0.8488687635449537,1207.8990203466465,-0.0016306439955322734,Gilbert
146,1340.652883569097,1.2701944019765397,2,0.3649728696869272,0.7873332529298647,1588.8264417845485,-0.0011656830212404359,Gilbert
147,87.51423487544484,1.9230882581291215,3,0.03827056757205896,0.5200079677135223,605.0667259786477,-0.00011373964212187488,Gilbert
